QID	nDCG@10	MRR	Rel_Found
1089727	0.0000	0.0000	
1089726	0.0000	0.0000	
1089725	0.0000	0.0000	
1089724	0.0000	0.0000	
1089723	0.0000	0.0000	
1089722	0.0000	0.0000	
1089721	0.0000	0.0000	
1089719	0.0000	0.0000	
1089717	0.0000	0.0000	
1089713	0.0000	0.0000	
1089711	0.0000	0.0000	
1089710	0.0000	0.0000	
1089709	0.0000	0.0000	
1089708	0.0000	0.0000	
1089707	0.0000	0.0000	
1089706	0.0000	0.0000	
1089705	0.0000	0.0000	
1089703	0.0000	0.0000	
1089702	0.0000	0.0000	
1089701	0.0000	0.0000	
1089700	0.3333	0.1429	7082199
1089699	0.0000	0.0000	
1089698	0.0000	0.0000	
1089696	0.0000	0.0000	
1102309	1.0000	1.0000	7082240
1089695	0.0000	0.0000	
1089693	0.0000	0.0000	
1089692	0.0000	0.0000	
1089691	0.0000	0.0000	
1089690	0.0000	0.0000	
1089688	0.0000	0.0000	
1089685	0.4307	0.2500	7082365
1089684	0.4307	0.2500	7082377
1089683	0.0000	0.0000	
1089682	0.0000	0.0000	
1089680	0.0000	0.0000	
1089679	0.0000	0.0000	
1089678	0.0000	0.0000	
1089676	0.3333	0.1429	7082463
1089674	0.0000	0.0000	
1089672	0.0000	0.0000	
1089671	0.0000	0.0000	
1089670	0.0000	0.0000	
1089669	0.0000	0.0000	
1089667	0.6309	0.5000	7082559
1089664	0.0000	0.0000	
1101215	0.0000	0.0000	
1089663	0.0000	0.0000	
1089660	0.0000	0.0000	
1089658	0.0000	0.0000	
1089657	0.0000	0.0000	
1089656	0.0000	0.0000	
1089654	1.0000	1.0000	7082700
1101214	0.0000	0.0000	
1089653	0.0000	0.0000	
1089652	1.0000	1.0000	7082726
1089650	0.0000	0.0000	
1089648	0.0000	0.0000	
1089647	0.0000	0.0000	
1089646	0.0000	0.0000	
1089645	0.3333	0.1429	7082804
1089644	0.0000	0.0000	
1089643	0.0000	0.0000	
1089642	0.0000	0.0000	
1089641	0.0000	0.0000	
1089640	0.0000	0.0000	
1089639	0.0000	0.0000	
1089634	0.0000	0.0000	
1089633	0.0000	0.0000	
1089632	0.0000	0.0000	
1089631	0.0000	0.0000	
1089627	0.0000	0.0000	
1089626	0.0000	0.0000	
1089625	0.0000	0.0000	
1089624	0.0000	0.0000	
1089623	0.6309	0.5000	7083043
1101211	0.6309	0.5000	7083057
1089622	0.0000	0.0000	
1089619	0.0000	0.0000	
1089618	0.0000	0.0000	
1089617	0.0000	0.0000	
1089616	0.0000	0.0000	
1089615	0.0000	0.0000	
1089614	1.0000	1.0000	7083146
1089611	0.0000	0.0000	
1089610	0.0000	0.0000	
1089608	0.0000	0.0000	
1089606	0.0000	0.0000	
1089605	0.0000	0.0000	
1089602	0.0000	0.0000	
1101209	0.0000	0.0000	
1089600	0.0000	0.0000	
1089599	0.0000	0.0000	
1089598	0.0000	0.0000	
1089597	0.0000	0.0000	
1089596	0.0000	0.0000	
1089594	0.0000	0.0000	
1089591	0.0000	0.0000	
1102308	0.0000	0.0000	
1101208	0.0000	0.0000	
1089590	0.0000	0.0000	
1089588	0.0000	0.0000	
1089587	0.0000	0.0000	
1089586	0.0000	0.0000	
1089584	0.0000	0.0000	
1089583	0.0000	0.0000	
